name,lat,lon,count,insta_names
DDP패션몰,37.5673174505789,127.012156747242,16,"['동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP', '동대문디자인플라자 DDP']"
DJ영어학원,33.4859973762784,126.476584456056,1,['dj']
Daejeon제일공인중개사사무소,36.34671554341633,127.3701816330705,138,"['Daejeon', 'Daejeon', 'Daejeon', 'Daejeon', 'Daejeon', 'Daejeon', 'Daejeon', 'Daejeon', 'Daejeon', 'Daejeon', 'Daejeon', 'Daejeon', 'Daejeon', 'Daejeon', 'Daejeon', 'Daejeon']"
GN,33.4806585540691,126.49184712994,2,['gn']
GS25 서귀동홍점,33.2550609773907,126.572234399854,5,['부산호텔']
GS25 제주함덕점,33.5414130084312,126.667724954358,2,"['편의점커피', '편의점']"
HFF,33.28006138884034,126.7190119872354,48,"['HFF', 'HFF', 'HFF', 'HFF', 'HFF', 'HFF', 'HFF', 'HFF', 'HFF', 'HFF', 'HFF', 'HFF', 'HFF', 'HFF', 'HFF', 'HFF']"
HP서비스 제주연동센터,33.4931083988942,126.500882217771,1,['hp']
ICC제주국제컨벤션센터,33.24131910578068,126.42443991674028,64,"['ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', '제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터', 'ICC JEJU 제주국제컨벤션센터']"
J&S house,33.4895988156913,126.534794875146,1,['house']
JS폴딩도어,33.476936995642,126.642731324441,9,['폴딩도어']
JW메리어트 제주(2021년12월예정),33.2429605261537,126.538287021755,1,['매리어트호텔']
Jeju in aA,33.53833652360498,126.83650369902168,16743,"['Jeju', 'Jeju', 'Jeju', 'Jeju', 'Jeju', 'Jeju', 'Jeju', 'Jeju', 'Jeju', 'Jeju', 'Jeju', 'Jeju', 'Jeju', 'Jeju', 'Jeju', 'Jeju']"
KAL LOUNGE,33.507290305915824,126.49330158566156,1,['대한항공라운지']
KGB포장이사 제주대리점,33.5137677437415,126.504100212754,1,['이사']
KT모바일 상품고객센터 제주점,33.5039618533491,126.525223812976,2,['상품']
KT제주지점 아라분기국사 전보배달문의,33.475355394715,126.544254542548,1,['제주배달']
KT플라자 제주점,33.5040263706471,126.525120145472,48,"['전농로', '전농로', '전농로', '전농로', '전농로', '전농로', '전농로', '전농로', '전농로', '전농로', '전농로', '전농로', '전농로', '전농로', '전농로', '전농로']"
M1971,33.21004453995747,126.25715797280068,80,"['M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어', 'M1971 요트투어']"
MJ리조트,33.528885497806,126.879313217091,2,['하도리숙박']
MLB,33.514962779899,126.525620097723,1,['mlb']
MVP당구클럽,33.4879123724092,126.501965430176,1,['mvp']
M스테이펜션,33.525297504875844,126.86319257157768,1,['하도리팬션']
N109,33.5518321199887,126.769404112836,50,"['N109', 'N109', 'N109', 'N109', 'N109', 'N109', 'N109', 'N109', 'N109', 'N109', 'N109', 'N109', 'N109', 'N109', 'N109', 'N109']"
NH올100종합자산관리센터,33.4873553350473,126.496202374909,1,['자산']
PPE,37.5162738482712,127.059936935972,123,"['South Korea', 'South Korea', 'South Korea', 'South Korea', 'South Korea', 'South Korea', 'South Korea', 'South Korea', 'South Korea', 'South Korea', 'South Korea', 'South Korea', 'South Korea', 'South Korea', 'South Korea', 'South Korea']"
SALT국제학교,37.370241843028815,127.14297865758924,150,"['(salt)', '(salt)', '(salt)', '(salt)', '(salt)', '(salt)', '(salt)', '(salt)', '(salt)', '(salt)', '(salt)', '(salt)', '(salt)', '(salt)', '(salt)', '(salt)']"
SK디앤디 가시리풍력발전소,33.3820395583134,126.730768410436,1,['풍력발전소']
SK렌터카 빌리카,33.50343953304369,126.5019529279276,1,['에스케이']
STCO 신제주점,33.48860255968017,126.48988974906156,2,['남자옷']
T world 제주지점,33.4922245484951,126.489304660277,4,['world']
TBN제주교통방송,33.47840940896314,126.55001390197312,6,['제주방송']
TWG티,37.5253207856728,127.028865697479,16,"['TWG', 'TWG', 'TWG', 'TWG', 'TWG', 'TWG', 'TWG', 'TWG', 'TWG', 'TWG', 'TWG', 'TWG', 'TWG', 'TWG', 'TWG', 'TWG']"
W728펜션,33.55907184334205,126.79228179697034,1,['W728']
ZARA 가로수길점,37.5226975712768,127.0223872140865,18,"['신사동 가로수길', '신사동 가로수길', '신사동 가로수길', '신사동 가로수길', '신사동 가로수길', '신사동 가로수길', '신사동 가로수길', '신사동 가로수길', '신사동 가로수길', '신사동 가로수길', '신사동 가로수길', '신사동 가로수길', '신사동 가로수길', '신사동 가로수길', '신사동 가로수길', '신사동 가로수길']"
ZIP트리스쿨,33.4579430416424,126.7112962232717,26,"['Zip 트리스쿨', 'Zip 트리스쿨', 'Zip 트리스쿨', 'Zip 트리스쿨', 'Zip 트리스쿨', '목공방', '나무공방', 'Zip 트리스쿨', 'Zip 트리스쿨', 'Zip 트리스쿨', 'Zip 트리스쿨', 'Zip 트리스쿨', 'Zip 트리스쿨', 'Zip 트리스쿨', 'Zip 트리스쿨', 'Zip 트리스쿨', 'Zip 트리스쿨', 'Zip 트리스쿨']"
d무트,36.7726364482255,127.067598230831,101,"['디무트', '디무트', '디무트', '디무트', '디무트', '디무트', '디무트', '디무트', '디무트', '디무트', '디무트', '디무트', '디무트', '디무트', '디무트', '디무트', '디무트']"
가가호호,37.5607016487549,127.039830764386,32,"['가가호호', '가가호호', '가가호호', '가가호호', '가가호호', '가가호호', '가가호호', '가가호호', '가가호호', '가가호호', '가가호호', '가가호호', '가가호호', '가가호호', '가가호호', '가가호호']"
가는길에공방,33.5123596261961,126.527674975862,1,['가는길에']
가락동농수산물도매시장 수산시장,37.4928055534987,127.108858656131,16,"['가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)', '가락동 (송파구)']"
가람돌솥밥,33.2496491362282,126.431285124288,36,"['가람돌솥밥', '가람돌솥밥', '가람돌솥밥', '가람돌솥밥', '가람돌솥밥', '돌솥밥', '가람', '가람돌솥밥', '가람돌솥밥', '가람돌솥밥', '가람돌솥밥', '가람돌솥밥', '가람돌솥밥', '가람돌솥밥', '가람돌솥밥', '가람돌솥밥', '가람돌솥밥', '가람돌솥밥']"
가르송티미드 제주,33.4058208674359,126.256364586548,7,['가르송티미드']
가메오름,33.3673292448323,126.335702114415,17,"['가 메오름', '가 메오름', '가 메오름', '가 메오름', '가 메오름', '가메오름', '가 메오름', '가 메오름', '가 메오름', '가 메오름', '가 메오름', '가 메오름', '가 메오름', '가 메오름', '가 메오름', '가 메오름', '가 메오름']"
가문동길펜션,33.4811824394615,126.392688001874,32,"['가문동길펜션', '가문동길펜션', '가문동길펜션', '가문동길펜션', '가문동길펜션', '가문동길펜션', '가문동길펜션', '가문동길펜션', '가문동길펜션', '가문동길펜션', '가문동길펜션', '가문동길펜션', '가문동길펜션', '가문동길펜션', '가문동길펜션', '가문동길펜션']"
가방여행,33.4952837531865,126.532502526488,2,"['여행가방', '내여행가방']"
가보트바이올린작업실,33.4768807586388,126.491378591996,1,['제주바이올린']
가수지망생닷컴,33.49308829751338,126.47763076923025,1,['가수지망생']
가시리 국산화 풍력발전단지,33.393937204106,126.734072371476,15,"['가시리풍력단지', '가시리풍력단지', '가시리풍력단지', '가시리풍력발전단지', '가시리풍력단지', '가시리풍력단지', '가시리풍력단지', '가시리풍력단지', '가시리풍력단지', '가시리풍력단지', '가시리풍력단지', '가시리풍력단지', '가시리풍력단지', '가시리풍력단지', '가시리풍력단지']"
가시식당,33.3530600681391,126.771437983288,34,"['가시식당', '가시식당', '가시식당', '가시식당', '가시식당', '가시식당', '가시식당', '가시식당', '가시식당', '가시식당', '가시식당', '가시식당', '가시식당', '가시식당', '가시식당', '가시식당', '가시식당']"
가시아방국수,33.43860508447686,126.91806478438669,94,"['가시아방', '가시아방', '가시아방', '가시아방', '가시아방', '가시아방', '가시아방', '가시아방', '가시아방', '가시아방', '가시아방', '가시아방', '가시아방', '가시아방', '가시아방', '가시아방']"
가오리앤아구찜,33.49042378969022,126.474572553658,2,['가오리']
가위점프,33.4916841682545,126.539128807512,1,['가위']
가자우리집,33.5169289663728,126.531494904629,4,"['집에가자', '집가자']"
가즈아당구장,33.4891966501956,126.476685723482,3,['가즈아']
가치,33.5164501901091,126.515778409981,1,['가치']
가파도,33.170012123095724,126.27141034691292,256,"['가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도', '가파도', '제주 가파도']"
가파도봄날에,33.1695844027458,126.270426504661,2,"['제주봄날카페', '제주봄날카페']"
